Word,Synonym
tvam,Your Honor
saumya,one who is pure and simple
tat,those
sarvam,all
tattvataḥ,in fact
tat,their
anugrahāt,by the favor of
brūyuḥ,will tell
snigdhasya,of the one who is submissive
śiṣyasya,of the disciple
guravaḥ,the spiritual masters
guhyam,secret
apiuta,endowed with.
tatra,thereof
tatra,thereof
añjasā,made easy
āyuṣman,blessed with a long duration of life
bhavatā,by your good self
yat,whatever
viniścitam,ascertained
puṁsām,for the people in general
ekāntataḥ,absolutely
śreyaḥ,ultimate good
tat,that
naḥ,to us
śaṁsitum,to explain
arhasi,deserve.
prāyeṇa,almost always
alpa,meager
āyuṣaḥ,duration of life
sabhya,member of a learned society
kalau,in this Age of Kali (quarrel)
asmin,herein
yuge,age
janāḥ,the public
mandāḥ,lazy
sumanda-matayaḥ,misguided
manda-bhāgyāḥ,unlucky
hi,and above all
upadrutāḥ,disturbed.
bhūrīṇi,multifarious
bhūri,many
karmāṇi,duties
śrotavyāni,to be learned
vibhāgaśaḥ,by divisions of subject matter
ataḥ,therefore
sādho,O sage
atra,herein
yat,whatever
sāram,essence
samuddhṛtya,by selection
manīṣayā,to the best of your knowledge
brūhi,please tell us
bhadrāya,for the good of
bhūtānām,the living beings
yena,by which
ātmā,the self
suprasīdati,becomes fully satisfied.
sūta,O Sūta Gosvāmī
jānāsi,you know
bhadramte,all blessings upon you
bhagavān,the Personality of Godhead
sātvatām,of the pure devotees
patiḥ,the protector
devakyām,in the womb of Devakī
vasudevasya,by Vasudeva
jātaḥ,born of
yasya,for the purpose of
cikīrṣayā,executing.
tat,those
naḥ,unto us
śuśrūṣamāṇānām,those who are endeavoring for
arhasi,ought to do it
aṅga,O Sūta Gosvāmī
anuvarṇitum,to explain by following in the footsteps of previousācāryas
yasya,whose
avatāraḥ,incarnation
bhūtānām,of the living beings
kṣemāya,for good
ca,and
bhavāya,upliftment
ca,and.
āpannaḥ,being entangled
saṁsṛtim,in the hurdle of birth and death
ghorām,too complicated
yat,what
nāma,the absolute name
vivaśaḥ,unconsciously
gṛṇan,chanting
tataḥ,from that
sadyaḥ,at once
vimucyeta,gets freedom
yat,that which
bibheti,fears
svayam,personally
bhayam,fear itself.
yat,whose
pāda,lotus feet
saṁśrayāḥ,those who have taken shelter of
sūta,O Sūta Gosvāmī
munayaḥ,great sages
praśamāyanāḥ,absorbed in devotion to the Supreme
sadyaḥ,at once
punanti,sanctify
upaspṛṣṭāḥ,simply by association
svardhunī,of the sacred Ganges
āpaḥ,water
anusevayā,bringing into use.
kaḥ,who
vā,rather
bhagavataḥ,of the Lord
tasya,His
puṇya,virtuous
śloka-īḍya,worshipable by prayers
karmaṇaḥ,deeds
śuddhi-kāmaḥ,desiring deliverance from all sins
na,not
śṛṇuyāt,does hear
yaśaḥ,glories
kali,of the age of quarrel
mala-apaham,the agent for sanctification.
tasya,His
karmāṇi,transcendental acts
udārāṇi,magnanimous
parigītāni,broadcast
sūribhiḥ,by the great souls
brūhi,please speak
naḥ,unto us
śraddadhānānām,ready to receive with respect
līlayā,pastimes
dadhataḥ,advented
kalāḥ,incarnations.
atha,therefore
ākhyāhi,describe
hareḥ,of the Lord
dhīman,O sagacious one
avatāra,incarnations
kathāḥ,narratives
śubhāḥ,auspicious
līlā,adventures
vidadhataḥ,performed
svairam,pastimes
īśvarasya,of the supreme controller
ātma,personal
māyayā,energies.
vayam,we
tu,but
na,not
vitṛpyāmaḥ,shall be at rest
uttama-śloka,"the Personality of Godhead, who is glorified by transcendental prayers"
vikrame,adventures
yat,which
śṛṇvatām,by continuous hearing
rasa,humor
jñānām,those who are conversant with
svādu,relishing
svādu,palatable
padepade,at every step.
kṛtavān,done by
kila,what
karmāṇi,acts
saha,along with
rāmeṇa,Balarāma
keśavaḥ,Śrī Kṛṣṇa
atimartyāni,superhuman
bhagavān,the Personality of Godhead
gūḍhaḥ,masked as
kapaṭa,apparently
mānuṣaḥ,human being.
kalim,the Age of Kali (iron age of quarrel)
āgatam,having arrived
ājñāya,knowing this
kṣetre,in this tract of land
asmin,in this
vaiṣṇave,specially meant for the devotee of the Lord
vayam,we
āsīnāḥ,seated
dīrgha,prolonged
satreṇa,for performance of sacrifices
kathāyām,in the words of
sa-kṣaṇāḥ,with time at our disposal
hareḥ,of the Personality of Godhead.
tvam,Your Goodness
naḥ,unto us
sandarśitaḥ,meeting
dhātrā,by providence
dustaram,insurmountable
nistitīrṣatām,for those desiring to cross over
kalim,the Age of Kali
sattva-haram,that which deteriorates the good qualities
puṁsām,of a man
karṇa-dhāraḥ,captain
iva,as
arṇavam,the ocean.
brūhi,please tell
yoga-īśvare,the Lord of all mystic powers
kṛṣṇe,Lord Kṛṣṇa
brahmaṇye,the Absolute Truth
dharma,religion
varmaṇi,protector
svām,own
kāṣṭhām,abode
adhunā,nowadays
upete,having gone away
dharmaḥ,religion
kam,unto whom
śaraṇam,shelter
gataḥ,gone.
vyāsaḥuvāca,Vyāsa said
iti,thus
sampraśna,perfect inquiries
saṁhṛṣṭaḥ,perfectly satisfied
viprāṇām,of the sages there
raumaharṣaṇiḥ,"the son of Romaharṣaṇa, namely Ugraśravā"
pratipūjya,after thanking them
vacaḥ,words
teṣām,their
pravaktum,to reply to them
upacakrame,attempted.
sūtaḥ,Sūta Gosvāmī
uvāca,said
yam,whom
pravrajantam,while going away for the renounced order of life
anupetam,without being reformed by the sacred thread
apeta,not undergoing ceremonies
kṛtyam,prescribed duties
dvaipāyanaḥ,Vyāsadeva
viraha,separation
kātaraḥ,being afraid of
ājuhāva,exclaimed
putraiti,O my son
tat-mayatayā,being absorbed in that way
taravaḥ,all the trees
abhineduḥ,responded
tam,unto him
sarva,all
bhūta,living entities
hṛdayam,heart
munim,sage
ānataḥasmi,offer obeisances.
yaḥ,he who
sva-anubhāvam,self-assimilated (experienced)
akhila,all around
śruti,theVedas
sāram,cream
ekam,the only one
adhyātma,transcendental
dīpam,torchlight
atititīrṣatām,desiring to overcome
tamaḥandham,deeply dark material existence
saṁsāriṇām,of the materialistic men
karuṇayā,out of causeless mercy
āha,said
purāṇa,supplement to theVedas
guhyam,very confidential
tam,unto him
vyāsa-sūnum,the son of Vyāsadeva
upayāmi,let me offer my obeisances
gurum,the spiritual master
munīnām,of the great sages.
nārāyaṇam,the Personality of Godhead
namaḥ-kṛtya,after offering respectful obeisances
naramcaeva,and Nārāyaṇa Ṛṣi
nara-uttamam,the supermost human being
devīm,the goddess
sarasvatīm,the mistress of learning
vyāsam,Vyāsadeva
tataḥ,thereafter
jayam,all that is meant for conquering
udīrayet,be announced.
munayaḥ,O sages
sādhu,this is relevant
pṛṣṭaḥ,questioned
aham,myself
bhavadbhiḥ,by all of you
loka,the world
maṅgalam,welfare
yat,because
kṛtaḥ,made
kṛṣṇa,the Personality of Godhead
sampraśnaḥ,relevant question
yena,by which
ātmā,self
suprasīdati,completely pleased.
saḥ,that
vai,certainly
puṁsām,for mankind
paraḥ,sublime
dharmaḥ,occupation
yataḥ,by which
bhaktiḥ,devotional service
adhokṣaje,unto the Transcendence
ahaitukī,causeless
apratihatā,unbroken
yayā,by which
ātmā,the self
suprasīdati,completely satisfied.
vāsudeve,unto Kṛṣṇa
bhagavati,unto the Personality of Godhead
bhakti-yogaḥ,contact of devotional service
prayojitaḥ,being applied
janayati,does produce
āśu,very soon
vairāgyam,detachment
jñānam,knowledge
ca,and
yat,that which
ahaitukam,causeless.
dharmaḥ,occupation
svanuṣṭhitaḥ,executed in terms of one’s own position
puṁsām,of humankind
viṣvaksena,the Personality of Godhead (plenary portion)
kathāsu,in the message of
yaḥ,what is
na,not
utpādayet,does produce
yadi,if
ratim,attraction
śramaḥ,useless labor
eva,only
hi,certainly
kevalam,entirely.
dharmasya,occupational engagement
hi,certainly
āpavargyasya,ultimate liberation
na,not
arthaḥ,end
arthāya,for material gain
upakalpate,is meant for
na,neither
arthasya,of material gain
dharma-eka-antasya,for one who is engaged in the ultimate occupational service
kāmaḥ,sense gratification
lābhāya,attainment of
hi,exactly
smṛtaḥ,is described by the great sages.
kāmasya,of desires
na,not
indriya,senses
prītiḥ,satisfaction
lābhaḥ,gain
jīveta,self-preservation
yāvatā,so much so
jīvasya,of the living being
tattva,the Absolute Truth
jijñāsā,inquiries
na,not
arthaḥ,end
yaḥcaiha,whatsoever else
karmabhiḥ,by occupational activities.
vadanti,they say
tat,that
tattva-vidaḥ,the learned souls
tattvam,the Absolute Truth
yat,which
jñānam,knowledge
advayam,nondual
brahmaiti,known as Brahman
paramātmāiti,known as Paramātmā
bhagavāniti,known as Bhagavān
śabdyate,it so sounded.
tat,that
śraddadhānāḥ,seriously inquisitive
munayaḥ,sages
jñāna,knowledge
vairāgya,detachment
yuktayā,well equipped with
paśyanti,see
ātmani,within himself
ca,and
ātmānam,the Paramātmā
bhaktyā,in devotional service
śruta,theVedas
gṛhītayā,well received.
ataḥ,so
pumbhiḥ,by the human being
dvija-śreṣṭhāḥ,O best among the twice-born
varṇa-āśrama,the institution of four castes and four orders of life
vibhāgaśaḥ,by the division of
svanuṣṭhitasya,of one’s own prescribed duties
dharmasya,occupational
saṁsiddhiḥ,the highest perfection
hari,the Personality of Godhead
toṣaṇam,pleasing.
tasmāt,therefore
ekena,by one
manasā,attention of the mind
bhagavān,the Personality of Godhead
sātvatām,of the devotees
patiḥ,protector
śrotavyaḥ,is to be heard
kīrtitavyaḥ,to be glorified
ca,and
dhyeyaḥ,to be remembered
pūjyaḥ,to be worshiped
ca,and
nityadā,constantly.
yat,which
anudhyā,remembrance
asinā,sword
yuktāḥ,being equipped with
karma,reactionary work
granthi,knot
nibandhanam,interknit
chindanti,cut
kovidāḥ,intelligent
tasya,His
kaḥ,who
na,not
kuryāt,shall do
kathā,messages
ratim,attention.
śuśrūṣoḥ,one who is engaged in hearing
śraddadhānasya,with care and attention
vāsudeva,in respect to Vāsudeva
kathā,the message
ruciḥ,affinity
syāt,is made possible
mahat-sevayā,by service rendered to pure devotees
viprāḥ,O twice-born
puṇya-tīrtha,those who are cleansed of all vice
niṣevaṇāt,by service.
śṛṇvatām,those who have developed the urge to hear the message of
sva-kathāḥ,His own words
kṛṣṇaḥ,the Personality of Godhead
puṇya,virtues
śravaṇa,hearing
kīrtanaḥ,chanting
hṛdiantaḥsthaḥ,within one’s heart
hi,certainly
abhadrāṇi,desire to enjoy matter
vidhunoti,cleanses
suhṛt,benefactor
satām,of the truthful.
naṣṭa,destroyed
prāyeṣu,almost to nil
abhadreṣu,all that is inauspicious
nityam,regularly
bhāgavata,"Śrīmad-Bhāgavatam,or the pure devotee"
sevayā,by serving
bhagavati,unto the Personality of Godhead
uttama,transcendental
śloke,prayers
bhaktiḥ,loving service
bhavati,comes into being
naiṣṭhikī,irrevocable.
tadā,at that time
rajaḥ,in the mode of passion
tamaḥ,the mode of ignorance
bhāvāḥ,the situation
kāma,lust and desire
lobha,hankering
ādayaḥ,others
ca,and
ye,whatever they are
cetaḥ,the mind
etaiḥ,by these
anāviddham,without being affected
sthitam,being fixed
sattve,in the mode of goodness
prasīdati,thus becomes fully satisfied.
evam,thus
prasanna,enlivened
manasaḥ,of the mind
bhagavat-bhakti,the devotional service of the Lord
yogataḥ,by contact of
bhagavat,regarding the Personality of Godhead
tattva,knowledge
vijñānam,scientific
mukta,liberated
saṅgasya,of the association
jāyate,becomes effective.
bhidyate,pierced
hṛdaya,heart
granthiḥ,knots
chidyante,cut to pieces
sarva,all
saṁśayāḥ,misgivings
kṣīyante,terminated
ca,and
asya,his
karmāṇi,chain of fruitive actions
dṛṣṭe,having seen
eva,certainly
ātmani,unto the self
īśvare,dominating.
ataḥ,therefore
vai,certainly
kavayaḥ,all transcendentalists
nityam,from time immemorial
bhaktim,service unto the Lord
paramayā,supreme
mudā,with great delight
vāsudeve,Śrī Kṛṣṇa
bhagavati,the Personality of Godhead
kurvanti,do render
ātma,self
prasādanīm,that which enlivens.
sattvam,goodness
rajaḥ,passion
tamaḥ,the darkness of ignorance
iti,thus
prakṛteḥ,of the material nature
guṇāḥ,qualities
taiḥ,by them
yuktaḥ,associated with
paraḥ,transcendental
puruṣaḥ,the personality
ekaḥ,one
ihaasya,of this material world
dhatte,accepts
sthiti-ādaye,"for the matter of creation, maintenance and destruction, etc."
hari,"Viṣṇu, the Personality of Godhead"
viriñci,Brahmā
hara,Lord Śiva
iti,thus
saṁjñāḥ,different features
śreyāṁsi,ultimate benefit
tatra,therein
khalu,of course
sattva,goodness
tanoḥ,form
nṛṇām,of the human being
syuḥ,derived.
pārthivāt,from earth
dāruṇaḥ,firewood
dhūmaḥ,smoke
tasmāt,from that
agniḥ,fire
trayī,Vedic sacrifices
mayaḥ,made of
tamasaḥ,in the mode of ignorance
tu,but
rajaḥ,the mode of passion
tasmāt,from that
sattvam,the mode of goodness
yat,which
brahma,the Absolute Truth
darśanam,realization.
bhejire,rendered service unto
munayaḥ,the sages
atha,thus
agre,previously
bhagavantam,unto the Personality of Godhead
adhokṣajam,the Transcendence
sattvam,existence
viśuddham,above the three modes of nature
kṣemāya,to derive the ultimate benefit
kalpante,deserve
ye,those
anu,follow
tān,those
iha,in this material world.
mumukṣavaḥ,persons desiring liberation
ghora,"horrible, ghastly"
rūpān,forms like that
hitvā,rejecting
bhūta-patīn,demigods
atha,for this reason
nārāyaṇa,the Personality of Godhead
kalāḥ,plenary portions
śāntāḥ,all-blissful
bhajanti,do worship
hi,certainly
anasūyavaḥ,nonenvious.
rajaḥ,the mode of passion
tamaḥ,the mode of ignorance
prakṛtayaḥ,of that mentality
sama-śīlāḥ,of the same categories
bhajanti,do worship
vai,actually
pitṛ,the forefathers
bhūta,other living beings
prajeśa-ādīn,controllers of cosmic administration
śriyā,enrichment
aiśvarya,wealth and power
prajā,progeny
īpsavaḥ,so desiring.
sūtaḥuvāca,Sūta said
jagṛhe,accepted
pauruṣam,plenary portion as thepuruṣaincarnation
rūpam,form
bhagavān,the Personality of Godhead
mahat-ādibhiḥ,with the ingredients of the material world
sambhūtam,thus there was the creation of
ṣoḍaśa-kalam,sixteen primary principles
ādau,in the beginning
loka,the universes
sisṛkṣayā,on the intention of creating.
yasya,whose
ambhasi,in the water
śayānasya,lying down
yoga-nidrām,sleeping in meditation
vitanvataḥ,ministering
nābhi,navel
hrada,out of the lake
ambujāt,from the lotus
āsīt,was manifested
brahmā,the grandfather of the living beings
viśva,the universe
sṛjām,the engineers
patiḥ,master.
yasya,whose
avayava,bodily expansion
saṁsthānaiḥ,situated in
kalpitaḥ,is imagined
loka,planets of inhabitants
vistaraḥ,various
tatvai,but that is
bhagavataḥ,of the Personality of Godhead
rūpam,form
viśuddham,purely
sattvam,existence
ūrjitam,excellence.
paśyanti,see
adaḥ,the form of thepuruṣa
rūpam,form
adabhra,perfect
cakṣuṣā,by the eyes
sahasra-pāda,thousands of legs
ūru,thighs
bhuja-ānana,hands and faces
adbhutam,wonderful
sahasra,thousands of
mūrdha,heads
śravaṇa,ears
akṣi,eyes
nāsikam,noses
sahasra,thousands
mauli,garlands
ambara,dresses
kuṇḍala,earrings
ullasat,all glowing.
etat,this (form)
nānā,multifarious
avatārāṇām,of the incarnations
nidhānam,source
bījam,seed
avyayam,indestructible
yasya,whose
aṁśa,plenary portion
aṁśena,part of the plenary portion
sṛjyante,create
deva,demigods
tiryak,animals
nara-ādayaḥ,human beings and others.
saḥ,that
eva,certainly
prathamam,first
devaḥ,Supreme Lord
kaumāram,named the Kumāras (unmarried)
sargam,creation
āśritaḥ,under
cacāra,performed
duścaram,very difficult to do
brahmā,in the order of Brahman
brahmacaryam,under discipline to realize the Absolute (Brahman)
akhaṇḍitam,unbroken.
dvitīyam,the second
tu,but
bhavāya,for the welfare
asya,of this earth
rasātala,of the lowest region
gatām,having gone
mahīm,the earth
uddhariṣyan,lifting
upādatta,established
yajñeśaḥ,the proprietor or the supreme enjoyer
saukaram,hoggish
vapuḥ,incarnation.
tṛtīyam,the third one
ṛṣi-sargam,the millennium of theṛṣis
vai,certainly
devarṣitvam,incarnation of theṛṣiamongst the demigods
upetya,having accepted
saḥ,he
tantram,exposition of theVedas
sātvatam,which is especially meant for devotional service
ācaṣṭa,collected
naiṣkarmyam,nonfruitive
karmaṇām,of work
yataḥ,from which.
turye,in the fourth of the line
dharma-kalā,wife of Dharmarāja
sarge,being born of
nara-nārāyaṇau,named Nara and Nārāyaṇa
ṛṣī,sages
bhūtvā,becoming
ātma-upaśama,controlling the senses
upetam,for achievement of
akarot,undertook
duścaram,very strenuous
tapaḥ,penance.
pañcamaḥ,the fifth one
kapilaḥ,Kapila
nāma,of the name
siddheśaḥ,the foremost amongst the perfect
kāla,time
viplutam,lost
provāca,said
āsuraye,unto thebrāhmaṇanamed Āsuri
sāṅkhyam,metaphysics
tattva-grāma,the sum total of the creative elements
vinirṇayam,exposition.
ṣaṣṭham,the sixth one
atreḥ,of Atri
apatyatvam,sonship
vṛtaḥ,being prayed for
prāptaḥ,obtained
anasūyayā,by Anasūyā
ānvīkṣikīm,on the subject of transcendence
alarkāya,unto Alarka
prahlāda-ādibhyaḥ,unto Prahlāda and others
ūcivān,spoke.
tataḥ,after that
saptame,the seventh in the line
ākūtyām,in the womb of Ākūti
ruceḥ,by Prajāpati Ruci
yajñaḥ,the Lord’s incarnation as Yajña
abhyajāyata,advented
saḥ,He
yāma-ādyaiḥ,with Yāma and others
sura-gaṇaiḥ,with demigods
apāt,ruled
svāyambhuva-antaram,the change of the period of Svāyambhuva Manu.
aṣṭame,the eighth of the incarnations
merudevyāmtu,"in the womb of Merudevī, the wife of"
nābheḥ,King Nābhi
jātaḥ,took birth
urukramaḥ,the all-powerful Lord
darśayan,by showing
vartma,the way
dhīrāṇām,of the perfect beings
sarva,all
āśrama,orders of life
namaskṛtam,honored by.
ṛṣibhiḥ,by the sages
yācitaḥ,being prayed for
bheje,accepted
navamam,the ninth one
pārthivam,the ruler of the earth
vapuḥ,body
dugdha,milking
imām,all these
oṣadhīḥ,products of the earth
viprāḥ,Obrāhmaṇas
tena,by
ayam,this
saḥ,he
uśattamaḥ,beautifully attractive.
rūpam,form
saḥ,He
jagṛhe,accepted
mātsyam,of a fish
cākṣuṣa,Cākṣuṣa
udadhi,water
samplave,inundation
nāvi,on the boat
āropya,keeping on
mahī,the earth
mayyām,drowned in
apāt,protected
vaivasvatam,Vaivasvata
manum,"Manu, the father of man."
sura,the theists
asurāṇām,of the atheists
udadhim,in the ocean
mathnatām,churning
mandarācalam,the Mandarācala Hill
dadhre,sustained
kamaṭha,tortoise
rūpeṇa,in the form of
pṛṣṭhe,shell
ekādaśe,the eleventh in the line
vibhuḥ,the great.
dhānvantaram,the incarnation of Godhead named Dhanvantari
dvādaśamam,the twelfth in the line
trayodaśamam,the thirteenth in the line
eva,certainly
ca,and
apāyayat,gave to drink
surān,the demigods
anyān,others
mohinyā,by charming beauty
mohayan,alluring
striyā,in the form of a woman.
caturdaśam,the fourteenth in the line
nāra-siṁham,the incarnation of the Lord as half-man and half-lion
bibhrat,advented
daitya-indram,the king of the atheists
ūrjitam,strongly built
dadāra,bifurcated
karajaiḥ,by the nails
ūrau,on the lap
erakām,canes
kaṭa-kṛt,carpenter
yathā,just like.
pañcadaśam,the fifteenth in the line
vāmanakam,the dwarfbrāhmaṇa
kṛtvā,by assumption of
agāt,went
adhvaram,arena of sacrifice
baleḥ,of King Bali
pada-trayam,three steps only
yācamānaḥ,begging
pratyāditsuḥ,willing at heart to return
tri-piṣṭapam,the kingdom of the three planetary systems.
avatāre,in the incarnation of the Lord
ṣoḍaśame,the sixteenth
paśyan,seeing
brahma-druhaḥ,disobedient to the orders of thebrāhmaṇas
nṛpān,the kingly order
triḥ-sapta,thrice seven times
kṛtvaḥ,had done
kupitaḥ,being engaged
niḥ,negation
kṣatrām,the administrative class
akarot,did perform
mahīm,the earth.
tataḥ,thereafter
saptadaśe,in the seventeenth incarnation
jātaḥ,advented
satyavatyām,in the womb of Satyavatī
parāśarāt,by Parāśara Muni
cakre,prepared
veda-taroḥ,of the desire tree of theVedas
śākhāḥ,branches
dṛṣṭvā,be seeing
puṁsaḥ,the people in general
alpa-medhasaḥ,less intelligent.
nara,human being
devatvam,divinity
āpannaḥ,having assumed the form of
sura,the demigods
kārya,activities
cikīrṣayā,for the purpose of performing
samudra,the Indian Ocean
nigraha-ādīni,"controlling, etc."
cakre,did perform
vīryāṇi,superhuman prowess
ataḥparam,thereafter.
ekonaviṁśe,in the nineteenth
viṁśatime,in the twentieth also
vṛṣṇiṣu,in the Vṛṣṇi dynasty
prāpya,having obtained
janmanī,births
rāma,Balarāma
kṛṣṇau,Śrī Kṛṣṇa
iti,thus
bhuvaḥ,of the world
bhagavān,the Personality of Godhead
aharat,removed
bharam,burden.
tataḥ,thereafter
kalau,the Age of Kali
sampravṛtte,having ensued
sammohāya,for the purpose of deluding
sura,the theists
dviṣām,those who are envious
buddhaḥ,Lord Buddha
nāmnā,of the name
añjana-sutaḥ,whose mother was Añjanā
kīkaṭeṣu,in the province of Gayā (Bihar)
bhaviṣyati,will take place.
atha,thereafter
asau,the same Lord
yuga-sandhyāyām,at the conjunction of theyugas
dasyu,plunderers
prāyeṣu,almost all
rājasu,the governing personalities
janitā,will take His birth
viṣṇu,named Viṣṇu
yaśasaḥ,surnamed Yaśā
nāmnā,in the name of
kalkiḥ,the incarnation of the Lord
jagat-patiḥ,the Lord of the creation.
avatārāḥ,incarnations
hi,certainly
asaṅkhyeyāḥ,innumerable
hareḥ,"of Hari, the Lord"
sattva-nidheḥ,of the ocean of goodness
dvijāḥ,thebrāhmaṇas
yathā,as it is
avidāsinaḥ,inexhaustible
kulyāḥ,rivulets
sarasaḥ,of vast lakes
syuḥ,are
sahasraśaḥ,thousands of.
ṛṣayaḥ,all the sages
manavaḥ,all the Manus
devāḥ,all the demigods
manu-putrāḥ,all the descendants of Manu
mahā-ojasaḥ,very powerful
kalāḥ,portion of the plenary portion
sarve,all collectively
hareḥ,of the Lord
eva,certainly
sa-prajāpatayaḥ,along with the Prajāpatis
smṛtāḥ,are known.
ete,all these
ca,and
aṁśa,plenary portions
kalāḥ,portions of the plenary portions
puṁsaḥ,of the Supreme
kṛṣṇaḥ,Lord Kṛṣṇa
tu,but
bhagavān,the Personality of Godhead
svayam,in person
indra-ari,the enemies of Indra
vyākulam,disturbed
lokam,all the planets
mṛḍayanti,gives protection
yugeyuge,in different ages.
janma,birth
guhyam,mysterious
bhagavataḥ,of the Lord
yaḥ,one
etat,all these
prayataḥ,carefully
naraḥ,man
sāyam,evening
prātaḥ,morning
gṛṇan,recites
bhaktyā,with devotion
duḥkha-grāmāt,from all miseries
vimucyate,gets relief from.
etat,all these
rūpam,forms
bhagavataḥ,of the Lord
hi,certainly
arūpasya,of one who has no material form
cit-ātmanaḥ,of the Transcendence
māyā,material energy
guṇaiḥ,by the qualities
viracitam,manufactured
mahat-ādibhiḥ,with the ingredients of matter
ātmani,in the self.
yathā,as it is
nabhasi,in the sky
megha-oghaḥ,a mass of clouds
reṇuḥ,dust
vā,as well as
pārthivaḥ,muddiness
anile,in the air
evam,thus
draṣṭari,to the seer
dṛśyatvam,for the purpose of seeing
āropitam,is implied
abuddhibhiḥ,by the less intelligent persons.
ataḥ,this
param,beyond
yat,which
avyaktam,unmanifested
avyūḍha,without formal shape
guṇa-bṛṁhitam,affected by the qualities
adṛṣṭa,unseen
aśruta,unheard
vastutvāt,being like that
saḥ,that
jīvaḥ,living being
yat,that which
punaḥ-bhavaḥ,takes birth repeatedly.
yatra,whenever
ime,in all these
sat-asat,gross and subtle
rūpe,in the forms of
pratiṣiddhe,on being nullified
sva-saṁvidā,by self-realization
avidyayā,by ignorance
ātmani,in the self
kṛte,having been imposed
iti,thus
tat,that is
brahma-darśanam,the process of seeing the Absolute.
yadi,"if, however"
eṣā,they
uparatā,subsided
devīmāyā,illusory energy
vaiśāradī,full of knowledge
matiḥ,enlightenment
sampannaḥ,enriched with
eva,certainly
iti,thus
viduḥ,being cognizant of
mahimni,in the glories
sve,of the self
mahīyate,being situated in.
evam,thus
janmāni,birth
karmāṇi,activities
hi,certainly
akartuḥ,of the inactive
ajanasya,of the unborn
ca,and
